'Fe 2' 42, 4923.9270
'Fe 2' 42, 5018.4340
'Fe 2' 42, 5069.030

'Fe 2' 49, 5197.5680
'Fe 2' 49, 5234.620
'Fe 2' 49, 5254.920
'Fe 2' 49, 5316.609
'Fe 2' 49, 5325.5530
'Fe 2' 49, 5346.560
'Fe 2' 49, 5425.269
'Fe 2' 49, 5477.670
'Fe 2' 49, 5275.994

'Fe 2' 28, 4369.404
'Fe 2' 28, 4296.567
'Fe 2' 28, 4258.154
'Fe 2' 28, 4178.855
'Fe 2' 28, 4122.638
'Fe 2' 28, 4087.270

'Fe 2' 37, 4491.401
'Fe 2' 37, 4515.3390
'Fe 2' 37, 4520.224
'Fe 2' 37, 4534.168
'Fe 2' 37, 4555.893
'Fe 2' 37, 4572.921
'Fe 2' 37, 4582.835
'Fe 2' 37, 4629.339
'Fe 2' 37, 4666.758
'Fe 2' 37, 4489.183

z4Do-b4P
'Fe 2', 4233.172
'Fe 2', 4273.317
'Fe 2', 4303.166
'Fe 2', 4351.76
'Fe 2', 4385.387
'Fe 2', 4416.817
'Fe 2', 4173.43
'Fe 2', 4128.735

'Fe 2' 38, 4508.283
'Fe 2' 38, 4520.513
'Fe 2' 38, 4522.634
'Fe 2' 38, 4541.524
'Fe 2' 38, 4549.467
'Fe 2' 38, 4576.340
'Fe 2' 38, 4595.682
'Fe 2' 38, 4620.513
'Fe 2' 38, 4648.43
'Fe 2' 73, 7222.39
'Fe 2' 73, 7224.51
'Fe 2' 73, 7307.97
'Fe 2' 73, 7320.70
'Fe 2' 73, 7449.335
'Fe 2' 73, 7449.335
'Fe 2' 73, 7462.38
'Fe 2' 73, 7515.88
'Fe 2' 73, 7655.47
'Fe 2' 73, 7711.710
'Fe 2' 74, 6147.735
'Fe 2' 74, 6149.238
'Fe 2' 74, 6239.953
'Fe 2' 74, 6238.375
'Fe 2' 74, 6247.562
'Fe 2' 74, 6407.300
'Fe 2' 74, 6416.905
'Fe 2' 74, 6456.376

c4D-z4Do
'Fe 2', 6455.837
'Fe 2', 6491.246
'Fe 2', 6493.035
'Fe 2', 6517.018
'Fe 2', 6562.200
'Fe 2', 6586.699
'Fe 2', 6385.451
'Fe 2', 6383.722
'Fe 2', 6317.983
'Fe 2', 6248.898

c4D-z4Po

a6S-a6D
'Fe 2', 4287.4
'Fe 2', 4359.338
'Fe 2', 4413.78
'Fe 2', 4453.11
'Fe 2', 4474.9
