2795.523         MgII
2802.698         MgII
2852.120         MgI
2855.0           MgV               ?
3727.0           [O II] 

3722.0           S III
4076.22          [S II]
4068.62          [S II]
3109.0           ArIII
4658.1           FeIII                        F                       F
4733.9           FeIII                           F                  
4701.5           FeIII                F 
4754.7           FeIII                 F 
4769.4           FeIII             F 
4881.0           FeIII            F
2500.919         FeII
2836.0           FeIV                 ?   
2829.0           FeIV                         ?

3868.74          [NeIII] 
3967.51          [NeIII] 
3342.9                                    NeIII        F
3425.8           [NeV] 
4720.            NeIV        F
4717.            NeIV     ?  F
3345.9           [NeV]
3970.080         H!7e!3 
4340.468         H!7g!3
4861.332         H!7b!3 
4101.737         H!7d!3

2733.0           HeII                ?
4685.682         HeII
3203.104         HeII
4338.67          HeII
4199.83          HeII



2590.301        MnII
3969.0          Ca2H
3934.0          Ca2K
4227.0          CaI
3933.7          Ca II
3968.5          Ca II
3951.0          H,K  CaII
4414.45          FeII                             F
4416.27          FeII                        F
4359.12          FeII
4244.53          FeII
4814.55          FeII               F
4889.70          FeII                     F
4276.83          FeII
4457.95          FeII
4474.91          FeII 
4347.35          FeII                 F
4352.78          FeII                    F 
4728.07          FeII                    F
4774.74          FeII                  F
4492.64          FeII                F
4319.717         FeII
4197.81          FeII               F
3888.646         HeI
4921.929         HeI
4387.928         HeI
4120.993         HeI 
4026.362         HeI
4143.759         HeI
3964.727         HeI
4437.549         HeI
3867.477         HeI
3187.743         HeI  
3819.761         HeI
3613.641         HeI
3447.594         HeI
4168.971         HeI
2945.104         HeI
2829.073         HeI





