4259.01        1.05  
4363.86        0.46  
4428.19       22.50  
4501.79        2.05  
4659.82        0.45  
4668.65        0.67  
4680.20        0.65  
4683.03        0.43  
4688.89        0.48  
4726.83        2.74  
4734.79        0.42  
4762.61        1.00  
4780.02       1.67   
4879.96        1.58  
4887.14        0.71  
4951.12        0.61  
4961.95        0.51  
4963.88        0.62  
4965.22        0.62  
4966.01       0.51   
4969.14       0.76   
4979.61       0.64   
4984.79       0.50   
4987.42       1.88   
5003.58       0.58   
5027.47       0.62   
5054.84       0.56   
5061.49       0.51   
5074.47       0.48   
5092.09       0.43   
5100.95       0.57   
5110.89       1.53   
5117.62       0.75   
5133.14      0.94   
5170.49       0.47   
5176.04       0.62   
5217.85       0.41   
5236.18       1.66   
5245.48       0.64   
5257.47       0.82   
5262.48       0.54   
5297.97       0.72   
5304.25       0.55   
5340.38       0.76   
5363.70       1.24   
5371.28       1.77   
5395.64       1.11   
5404.56       0.91   
5418.87       0.76   
5450.62      11.06  
5480.79       0.54   
5487.69       5.20   
5494.10       0.50   
5497.08       2.61   
5502.91       1.27   
5506.28       0.92   
5508.12       2.37   
5512.68       0.48   
5515.99       1.07   
5524.98       1.65   
5525.48      10.56   
5527.55       0.52   
5541.84       0.56   
5545.06       0.80   
5546.48       0.55   
5553.98       0.73   
5556.44       1.28   
5560.03       1.34   
5566.11       1.41   
5580.82       0.53   
5585.56       0.64   
5594.60       0.45   
5599.70       0.61   
5600.85       0.91   
5609.78       0.63   
5634.98       1.12   
5645.49       0.68   
5669.33       1.47   
5705.08       2.58   
5706.51       0.49   
5707.77       0.58   
5711.45       0.50   
5719.48       0.69   
5760.53       0.65   
5762.74       0.51   
5766.10       0.98   
5769.09       0.54   
5775.90       1.18   
5780.48       2.11   
5785.04       0.89   
5793.21       0.79   
5795.20       0.93   
5797.06       0.77   
5809.23       1.09   
5815.74       0.58   
5818.72       0.60   
5828.47       0.86   
5838.02       0.49   
5840.66       0.58   
5842.93       2.13   
5844.92       0.50   
5849.81       0.82   
5854.54       0.42   
5855.68       0.41   
5885.37       0.58   
5893.54       0.71   
5900.58       0.59   
5904.63       0.85   
5910.57       0.74   
5917.05       1.39   
5922.32       0.50   
5923.47       0.59   
5925.94       0.81   
5927.63       0.59   
5945.54       0.49   
5947.32       0.44   
5948.88       0.47   
5952.26       0.45   
5958.91       1.15   
5962.89       0.96   
5975.75       0.41   
5982.67       0.54   
5988.11       0.73   
5989.46       0.57   
5995.83       0.79   
6004.89       2.65   
6010.75       3.27   
6019.32       0.79   
6027.68       1.99   
6037.63       1.71   
6048.60       0.77   
6054.50       0.98   
6059.26       0.54   
6065.28       0.54   
6071.31       0.91   
6084.94       0.82   
6087.48       0.96   
6089.85       0.54   
6093.40       0.95   
6102.72       1.22   
6108.05       0.37   
6109.88       0.50   
6113.18       0.68   
6116.84       0.81   
6118.63       0.56   
6136.08       1.55   
6139.98       0.61   
6142.09       0.68   
6148.40       0.84   
6151.14       1.01   
6158.57       0.70   
6161.88       0.46   
6163.49       0.39   
6165.68       1.48   
6170.48       1.67   
6177.63       1.25   
6182.58       1.04   
6185.81       0.42   
6189.52       0.86   
6194.74       0.38   
6195.98       0.42   
6203.05       1.21   
6204.49       4.87   
6211.69       0.59   
6212.91       0.71   
6215.81       1.03   
6223.67       0.56   
6226.27       0.57   
6234.01       0.78   
6236.92       0.68   
6244.46       1.72   
6250.88       0.64   
6259.70       0.69   
6269.85       1.17   
6283.84       4.77   
6287.59       0.51   
6308.80       5.04   
6317.86       5.18   
6324.45       1.60   
6329.98       0.63   
6353.38       1.90   
6355.45       0.83   
6358.14       1.29   
6362.15       1.95   
6367.34       0.46   
6376.08       0.75   
6379.32       0.58   
6397.01       1.21   
6400.46       0.81   
6410.20       0.60   
6414.67       1.99   
6417.03       1.12   
6418.61       0.71   
6425.66       0.76   
6439.48       0.75   
6445.28       0.46   
6449.22       0.76   
6456.01       0.89   
6460.44       0.51   
6463.68       0.98   
6466.86       0.57   
6468.77       0.93   
6474.24       0.57   
6489.47       0.84   
6494.05       8.98   
6498.08       0.66   
6520.62       0.89   
6536.53       0.71   
6543.08       0.52   
6553.92       0.45   
6590.42       7.53   
6597.31       0.55   
6613.62       0.93   
6622.82       0.64   
6628.14       1.02   
6630.77       0.54   
6633.12       1.30   
6635.74       1.12   
6645.95       0.82   
6654.73       0.67   
6660.71       0.58   
6665.27       0.54   
6672.27       0.66   
6684.86       1.59   
6689.44       0.70   
6694.54       0.60   
6699.32       0.63   
6702.02       0.63   
6729.27       0.53   
6733.16       1.24   
6737.28       0.61   
6747.78       1.13   
6751.51       2.81   
6765.34       0.61   
6770.21       0.59   
6780.65       0.58   
6795.21       0.50   
6801.46       0.61   
6812.73       1.03   
6827.33       0.71   
6843.63       0.89   
6852.53       0.65   
6919.21       1.08   
6944.60       0.81   
6973.76       0.56   
6978.40       0.56   
6993.13       0.76   
7030.29       0.64   
7031.52       0.57   
7061.05       0.50   
7062.68       0.47   
7069.55       0.78   
7077.86       1.04   
7084.65       2.56   
7092.67       1.04   
7116.31       0.56   
7119.71       1.05   
7159.83       1.46   
7162.87       0.59   
7203.65       0.53   
7224.03       1.02   
7334.48       0.69   
7357.56       1.41   
7367.13       0.54   
7375.87       0.60   
7385.89       0.52   
7470.32       0.88   
7495.02       0.60   
7562.25       1.23   
7706.80       0.77   
7822.80       0.89   
7832.89       0.63   
7862.43       0.52   
8026.25       0.61   
