4422.000 TiO
4424.000 TiO
4462.000 TiO
4506.000 TiO
4548.000 TiO
4584.000 TiO
4626.000 TiO
4668.000 TiO
4704.000 TiO
4761.500 TiO
4763.000 TiO
4784.000 TiO
4804.000 TiO
4847.000 TiO
4848.000 TiO
4955.000 TiO
5003.000 TiO
5020.000 TiO
5167.000 TiO
5240.000 TiO
5308.000 TiO
5359.000 TiO
5448.000 TiO
5451.000 TiO
5497.000 TiO
5597.000 TiO
5603.000 TiO
5862.000 TiO
6159.000 TiO
6268.000 TiO
6384.000 TiO
6651.000 TiO
6658.000 TiO
6681.000 TiO
6715.000 TiO
6782.000 TiO
6815.000 TiO
6850.000 TiO
7054.000 TiO
7088.000 TiO
7094.000 TiO
7126.000 TiO                                      
7589.000 TiO                                                         
7751.000 TiO   
