# Identification List of Lines in Stellar Spectra (2951 A - 1.32 um)
 3387.73    CrII        90                 5.     
 3387.834   TiII        1                 50.     
 3387.87    ZrII        74                12.     
 3387.96    CrII        112                3.     
 3388.065   GdII        71                40.     
 3388.134   FeII  ?  ?  77                 2.     
 3388.163   CoI         23                30.      
 3388.18    CoII        2                 50.     
 3388.2     [CoVI ]  F  2        
 3388.29    ZrII        2                 15.     
 3388.46    NeII        19                 6.     
 3388.54    ArII        96                 7.     
 3388.71    CrI         54                10.     
 3388.755   TiII        53                 8.     
 3388.81    FeI   P  P  140                1.      
 3388.88    CrI         90                 1.     
 3388.912   GdII        73               100.     
 3388.966   FeI         502                1.      
 3389.325   SmII        52               250.     
 3389.748   FeI         87                 2.     
 3389.83    HfII        8                 70.     
 3390.082   FeII        207                2.     
 3390.25    FeI   P  P  188                        
 3390.25    O II        9                  8.     
 3390.37    O IV  P  P  3        
 3390.396   CoI         102                5.     
 3390.498   GdII        73                30.     
 3390.515   CeII        145               20.      
 3390.56    NeII        12                 2.     
 3390.682   TiI         86                10.     
 3390.77    CrI         236                5.     
 3390.783   EuII                          80.     
 3390.878   GdII        73               200.     
 3391.01    V II        121                1.     
 3391.050   NiI         5                 50.      
 3391.11    CrI         236                1.     
 3391.294   GdII        73               150.     
 3391.303   FeII        117                1.     
 3391.372   CrI         254               10.     
 3391.434   CrII        3                 35.     
 3391.84    FeI   P  P  678                        
 3391.85    ArIII       6                 15.     
 3391.96    ZrII        1                100.     
 3391.989   EuII        17               100.     
 3392.018   FeI         499                2.     
 3392.040   ThII        5                300.     
 3392.304   FeI         83                 8.     
 3392.530   GdII        7               2000.     
 3392.652   FeI         85                15.     
 3392.659   V II        70                50.     
 3392.713   TiI         136               10.     
 3392.78    NeII        7                  5.     
 3392.89    ClIII       11                 8.     
 3392.992   NiI         20               100.      
 3393.00    CrII        21                35.     
 3393.12    ZrII        3                 10.     
 3393.382   FeI         376                1.      
 3393.45    ClIII       11                 8.     
 3393.609   FeI         305,376            1.      
 3393.630   GdII        91               400.     
 3393.641   NdII                          60.     
 3393.86    CrII        21                30.     
 3393.915   FeI         136                1.      
 3393.920   CeII        46                50.     
 3394.085   FeI         188                1.      
 3394.26    O III       27                 1.     
 3394.29    ScII        38                 1.     
 3394.32    CrII        21                35.     
 3394.37    TiII  P  P  63        
 3394.574   TiII        1                 40.     
 3394.58    HfII        7                 25.     
 3394.583   FeI         81                 5.     
 3394.63    ZrII        85                 3.     
 3394.916   CoI         42                 2.     
 3394.92    V II        80                 1.     
 3394.99    HfII        63                30.     
 3395.120   GdII        91              1000.     
 3395.336   FeII        117                4.     
 3395.370   CoI         25                40.      
 3395.62    CrII        100               20.     
 3395.87    FeI   P  P  543                        
 3395.90    FeI   P  P  189                        
 3396.184   NiI         122                6.     
 3396.187   SmII        44               500.     
 3396.34    ZrII        58                 7.     
 3396.386   FeI         25                 1.      
 3396.457   CoI         102                1.     
 3396.50    NiI   P  P  118        
 3396.58    EuII        30               200.     
 3396.66    ZrII        103                6.     
 3396.7     [NiVII]  F  2        
 3396.71    FeIII       18                 7.     
 3396.83    O IV        3                  2.      
 3396.85    RhI         3                100.      
 3396.978   FeI         26                 4.     
 3397.07    LuII        4                150.     
 3397.221   FeI         503                1.      
 3397.499   TmII        3                100.     
 3397.560   FeI         447                1.      
 3397.580   V I         54                 6.     
 3397.642   FeI         26                 2.     
 3397.77    LaII        128               40.      
 3397.82    NiII        8                  1.     
 3397.89    ArII        59                 4.     
 3397.90    NeII        36                 1.     
 3398.12    FeI   P  P  615                        
 3398.226   FeI         304                1.      
 3398.355   FeII        105                4.     
 3398.5     [CoVI ]  F  2        
 3398.634   TiI         86                 8.     
 3398.811   CoI         157                3.     
 3399.230   FeI         302                1.      
 3399.336   FeI         85                15.     
 3399.36    ZrII        11                10.     
 3399.406   GdII        22               500.     
 3399.54    CrII        100               18.     
 3399.80    HfII        1                150.     
 3399.951   TmII        12                70.     
 3399.991   GdII        22              1200.     
 3400.08    CrII        67                 2.     
 3400.110   NaII        4                  2.     
 3400.3     [FeV  ]  F  4        
 3400.395   V I         46                12.     
 3400.471   CoI         42                 1.     
 3401.067   GdII        8                300.     
 3401.166   NiI         107                8.     
 3401.521   FeI         26                 6.     
 3401.617   CoI         44                 2.     
 3401.740   V II        106                1.     
 3401.76    NiII        4                  2.     
 3401.90    W II        9                150.     
 3401.913   CoI         157                2.      
 3401.997   V II        47                 2.     
 3402.064   CoI         123                4.     
 3402.072   GdII        91,149          1000.     
 3402.256   FeI         614                5.     
 3402.32    FeII  P  P  105        
 3402.422   TiII        53                 8.     
 3402.43    CrII        21                25.     
 3402.464   SmII        39               400.     
 3402.50    [FeII ]  F  27        
 3402.52    ZrII        85                 1.     
 3402.571   V I         46                 9.     
 3402.87    ZrII        91                 7.     
 3403.081   GdII        73               150.     
 3403.159   V II        135                3.     
 3403.29    CrII  P  P  21                         
 3403.29    FeI   P  P  377        
 3403.299   FeI         304                2.      
 3403.3     [CoVI ]  F  1        
 3403.322   CrII        3                100.     
 3403.369   TiI         86                 4.     
 3403.432   NiI         108                8.     
 3403.51    FeIII       61                 2.     
 3403.58    O IV        2                  3.     
 3403.59    CrI         254                8.     
 3403.65    [FeI  ]  F  10        
 3403.69    ZrII        59                 8.     
 3404.301   FeI         25,301             3.     
 3404.34    P II        12,21              5.     
 3404.357   FeI         83                 6.     
 3404.43    V II        243               80.      
 3404.60    PdI         2               1000.      
 3404.755   FeI         300                1.      
 3404.77    NeII        51                 4.     
 3404.84    ZrII        11                12.     
 3404.923   FeI         300                1.      
 3404.97    TiII        63                 1.      
 3405.038   GdII        91               150.     
 3405.094   TiI         86                 5.     
 3405.120   CoI         23               150.      
 3405.160   V I         46                 6.     
 3405.39    [FeI  ]  F  10        
 3405.50    NiI   P  P  122        
 3405.74    O III       15                 2.     
 3405.83    FeI         299                2.      
 3405.934   MoI         9                 10.      
 3405.97    O IV  P  P  3        
 3405.977   CeII        96               100.     
 3406.06    V II        119                7.     
 3406.17    FeI   P  P  376                        
 3406.18    FeIII       61                 2.     
 3406.2     [FeIII]  F  5        
 3406.442   FeI         676                3.     
 3406.6     [FeV  ]  F  4        
 3406.76    FeII  P  P  90        
 3406.803   FeI         85                 6.     
 3406.837   V I         46                 6.     
 3406.88    NeII        51                 5.     
 3407.00    LaII        155                8.      
 3407.06    FeI   P  P  377                        
 3407.205   TiII        1                  3.     
 3407.22    CrI                            5.      
 3407.30    NiII        4                  8.     
 3407.38    O II        44                 7.      
 3407.461   FeI         83                20.      
 3407.53    FeI   P  P  81                         
 3407.56    GdII  ?  ?  91               600.     
 3407.61    GdII  ?  ?  24              1500.     
 3407.7     Y II                           3.      
 3407.76    HfII        29                15.     
 3407.960   MnI         26                 1.      
 3408.01    CrI                            4.      
 3408.09    ZrII        72                10.     
 3408.13    O III       15                 1.     
 3408.136   N II        7                  3.     
 3408.14    PtI         4                 15.     
 3408.676   SmII                         300.     
 3408.678   NbII        3                100.     
 3408.765   CrII        3                150.     
 3408.955   V II        120               15.     
 3408.96    CrII  P  P  8        
 3409.177   CoI         23                60.      
 3409.191   NbII        3                100.     
 3409.20    FeI         614                2.      
 3409.297   GdII        21               500.     
 3409.36    CrI                            7.      
 3409.40    FeI   P  P  445                        
 3409.578   NiI         5                  8.     
 3409.60    CrII  P  P  8        
 3409.646   CoI         24                 2.      
 3409.75    O IV        3                  2.      
 3409.79    CrII  P  P  8        
 3409.809   TiII        1                  4.     
 3409.84    O II        44                 6.      
 3409.87    Y II        63                 4.      
 3410.031   FeI         542                1.      
 3410.171   FeI         735                3.     
 3410.18    HfII        30                40.     
 3410.26    ZrII        11                20.     
 3410.46    V II        119                1.     
 3410.56    FeI   P  P  244                        
 3410.74    FeIII       61,62              3.     
 3410.905   FeI         25                 1.      
 3411.01    CrI                            8.      
 3411.134   FeI         299                1.      
 3411.353   FeI         301                3.     
 3411.38    NeII        45                 1.     
 3411.68    TiII  P  P  63                         
 3411.76    LaII        155               20.      
 3411.76    O IV        2                  4.     
 3411.88    FeI   P  P  298                        
 3412.020   GdII        73               200.     
 3412.339   CoI         25                80.      
 3412.47    NiI   P  P  90        
 3412.583   GdII        70                60.     
 3412.633   CoI         6                 80.      
 3412.753   GdII        23                80.     
 3412.934   NbII        3                150.     
 3413.13    NeII        45                 3.     
 3413.135   FeI         85                15.     
 3413.273   GdII        91               400.     
 3413.3     [NiVII]  F  2        
 3413.39    ZrII        60                 5.     
 3413.46    NiI   P  P  124                        
 3413.478   NiI         5                 25.      
 3413.71    O IV        2                  1.     
 3413.74    HfII        20                 8.     
 3413.939   NiI         17                12.      
 3414.02    TiII        127                0.      
 3414.144   FeII        91                 2.     
 3414.192   V II        135               10.     
 3414.207   GdII        107               60.     
 3414.46    ArII        107                3.     
 3414.65    ZrII        73                12.     
 3414.66    ZrI         17                20.     
 3414.765   NiI         19               150.      
 3414.82    NeII        20                 2.     
 3414.879   V II        135                3.     
 3415.29    O III       15                 3.     
 3415.47    CrII        100                1.     
 3415.519   CoI         5                  5.     
 3415.530   FeI         83                 4.     
 3415.67    NiI   P  P  123        
 3415.78    CoII        2                 75.     
 3415.91    V II        169                2.     
 3416.021   FeII        16                 5.     
 3416.52    FeI   P  P  708                        
 3416.674   ScI         21                 2.     
 3416.688   FeI         142                1.      
 3416.87    NeII        21                 4.     
 3416.948   GdII        22              2500.     
 3416.957   TiII        53                 2.     
 3417.154   CoI         23                50.      
 3417.273   FeI         26                 1.      
 3417.330   GdII        91               150.     
 3417.353   CoI         135                1.      
 3417.353   RuI         3                 20.      
 3417.450   CeII        100              125.     
 3417.673   CoI         122                5.     
 3417.71    NeII        20                 5.     
 3417.795   CoI         19                 6.     
 3417.842   FeI         81                12.     
 3417.88    TiI   P  P  86        
 3417.9036  NeI         4                 10.      
 3418.02    FeII  P  P  104        
 3418.151   SmII                         500.     
 3418.176   FeI         577                2.      
 3418.507   FeI         81                10.     
 3418.514   SmII        47               100.     
 3418.528   ScI         21                 2.      
 3418.733   GdII        7               2000.     
 3419.069   GdII        24                50.     
 3419.10    ZrII        2                  5.     
 3419.157   FeI         576                1.      
 3419.25    P II        3                  6.     
 3419.358   ScI         21                 1.      
 3419.49    FeIII       11,49              3.     
 3419.706   FeI         377                1.      
 3419.87    O II                           2.      
 3420.15    V II        119                2.     
 3420.184   FeII        89                 0.     
 3420.474   CoI         42                 5.     
 3420.54    LaII        126                5.      
 3420.61    O II                           3.      
 3420.709   V II        105                5.     
 3420.741   NiI         9                  5.     
 3420.790   CoI         102                7.     
 3420.795   MnI                            4.     
 3420.82    K III       1                  6.     
 3421.029   CoI         119                1.      
 3421.20    CrII        3                 75.     
 3421.22    NiI   P  P  105        
 3421.24    PdI         3                500.     
 3421.342   NiI         122                7.     
 3421.62    CrII  *  *  60                 4.     
 3421.628   CoI         101                3.     
 3421.64    ArII        57                 5.     
 3421.83    K III       4                  4.     
 3421.97    FeIII       11                 3.     
 3422.332   NiI         105                4.     
 3422.466   GdII        2              10000.     
 3422.499   FeI         444                3.     
