# Identification List of Lines in Stellar Spectra (2951 A - 1.32 um)
 3859.26    S II        30                 0.     
 3859.33    AlII        38                 3.     
 3859.341   V I         44                 6.     
 3859.36    ScII  P  P  1        
 3859.913   FeI         4                300.            
 3860.12    FeII  P  P  128        
 3860.13    CrI   *  *  39                 5.     
 3860.15    S II        41                 2.     
 3860.46    FeIII       109                1.     
 3860.64    S II        50                 3.     
 3860.64    S III       5                  3.     
 3860.74    FeI   P  P  701                        
 3860.80    ClII        25               150.     
 3860.915   FeII                           3.     
 3860.98    ClII        25               100.     
 3861.079   TiI                            3.      
 3861.164   CoI         33                20.     
 3861.18    EuII                          80.     
 3861.341   FeI         283,663            2.     
 3861.40    ClII        25                50.     
 3861.60    FeI         663                1.      
 3861.95    ClII        84                20.     
 3862.054   SmII        10               300.     
 3862.17    CrII  P  P  129        
 3862.223   V I         8                 12.     
 3862.3     [NiVII]  F  2        
 3862.592   SiII        1                  6.            
 3862.823   TiI         175               10.      
 3863.056   NbII        9                150.     
 3863.072   NiI         181                5.      
 3863.327   NdII        27                20.     
 3863.409   NdII        26                60.     
 3863.413   FeII        152                1.     
 3863.50    O II        12                 2.     
 3863.607   CoI         131                2.     
 3863.70    FeI   P  P  565                        
 3863.745   FeI         280                2.     
 3863.81    V II        33                60.     
 3863.866   V I         66                 6.     
 3863.88    ZrI         8                100.     
 3863.953   FeII        127,152            1.     
 3864.115   MoI         1                 50.      
 3864.13    O II        11                 1.     
 3864.30    FeI   P  P  565                        
 3864.300   V I         64                 3.      
 3864.31    FeI   P  P  221                        
 3864.33    ZrI         10                40.     
 3864.335   W I         3                  3.      
 3864.45    O II        12                 5.     
 3864.49    LaII        141              100.      
 3864.60    ClII        84                15.     
 3864.68    O II        12                 1.     
 3864.75    HfII        98                20.     
 3864.862   V I         7                 35.     
 3865.458   PrII                         100.     
 3865.526   FeI         20                30.            
 3865.59    CrII        167               75.     
 3865.72    V II        20                 5.     
 3866.01    CrII        130                5.     
 3866.160   AlII        17                 2.     
 3866.446   TiI         176               15.      
 3866.54    CrII        130                7.     
 3866.744   V II        11                60.     
 3866.9     [MnVI ]  F  3        
 3867.219   FeI         488                7.     
 3867.26    GdII        50                60.     
 3867.32    HfII        53                15.     
 3867.45    FeI   P  P  221                        
 3867.477   HeI         20                 2.            
 3867.56    S I                            8.    10.31  
 3867.602   V I         7                 15.     
 3867.631   HeI         20                 1.            
 3867.739   TiI         176                3.     
 3867.839   RuI         9                  8.      
 3867.925   FeI         221                1.     
 3867.986   W I         7                300.     
 3868.243   FeI         430                1.      
 3868.397   TiI         175               10.      
 3868.53    ArII        90                 8.     
 3868.62    ClII        84                40.     
 3868.74    [NeIII]  N   1        
 3868.84    C II        18                 1.     
 3869.045   NdII        34                30.     
 3869.085   MoI         8                 10.     
 3869.10    N I                            4.     
 3869.275   TiI         175                5.      
 3869.562   FeI         284                3.      
 3869.590   FeI         284                3.      
 3869.61    ArII        80                 0.     
 3870.057   AlII        74                 0.5     
 3870.267   CrI         11                25.      
 3870.506   CaI         26                 2.      
 3870.534   CoI         129                4.     
 3871.      CN                                           
 3871.078   V I         66                 8.     
 3871.54    GdII        1                 80.     
 3871.60    NiI         181                3.      
 3871.62    C II        18                 2.     
 3871.64    LaII        13               200.     
 3871.750   FeI         429                4.            
 3871.778   SmII        18               100.     
 3871.819   HeI         60                 1.            
 3872.15    ArII        54                 5.     
 3872.308   Y II        61                 5.      
 3872.45    O II        11                 1.     
 3872.504   FeI         20                60.            
 3872.55    HfII        27                20.     
 3872.552   CaI         26                 3.      
 3872.62    GdII        19                60.     
 3872.748   V I         43                 4.      
 3872.76    FeII  P  P  29        
 3872.835   W I         4                  4.      
 3872.923   FeI         284                1.     
 3872.98    FeII  P  P  128        
 3873.120   CoI         18                60.            
 3873.203   TiI         176               10.      
 3873.51    [FeI  ]  F  9        
 3873.74    K II        3                 10.     
 3873.763   FeI         175                8.            
 3873.953   CoI         18                40.            
 3874.053   FeI         120                1.      
 3874.07    [FeII ]  F  8        
 3874.10    O II        11                 2.     
 3874.37    ZrII        89                 1.     
 3874.41    CrII  P  P  143        
 3874.570   CrI         138               40.      
 3874.76    CrII  P  P  143        
 3875.036   CeII        162                6.      
 3875.075   V I         7                 35.     
 3875.14    CrI         138               10.      
 3875.193   SmII                         200.     
 3875.26    ArII        2                  7.     
 3875.262   TiI         15,175            20.      
 3875.426   V I         43                 3.     
 3875.46    GdII        50               100.     
 3875.545   SmII        17               150.     
 3875.67    V II        20                 5.     
 3875.807   CaI         26                 4.      
 3875.82    O II        13                 4.     
 3875.902   V I         7                 20.     
 3876.043   FeI         22                 4.            
 3876.051   C II        33                 6.            
 3876.086   V I         8                 20.     
 3876.188   C II        33                 8.            
 3876.409   C II        33                 7.            
 3876.65    LuII        3                100.     
 3876.670   C II        33                 6.     
 3876.671   FeI         121                1.      
 3876.831   CoI         17,62             20.     
 3876.974   CeII        82                15.      
 3877.11    HfII        75                40.     
 3877.225   PrII                         200.     
 3877.591   TiI         175                2.      
 3877.60    ZrI         58                40.     
 3878.021   FeI         20                60.            
 3878.180   HeI         59                 1.      
 3878.19    FeI   P  P  565                        
 3878.22    C II        33                 1.     
 3878.28    Y II        7                 20.     
 3878.372   CeII        48               150.     
 3878.575   FeI         4                100.            
 3878.58    MgI         20                 1.      
 3878.582   NdII                          50.     
 3878.61    TiI   P  P  164        
 3878.663   FeI         175                8.      
 3878.715   V II        33               300.     
 3878.726   FeI         664                2.      
 3878.750   CoI         62                 4.      
 3879.04    ZrI         6                 10.     
 3879.222   CrI         138               50.     
 3879.60    C II        33                 1.     
 3880.34    ArII        54                 4.     
 3880.466   PrII                         100.     
 3880.59    C II        33                 1.     
 3880.766   SmII        10               100.     
 3880.779   NdII        32                40.     
 3880.82    HfII        6                 40.     
 3881.04    V II        143                2.     
 3881.214   CrI         138               40.     
 3881.383   SmII        33              1000.     
 3881.399   TiI         15                 4.     
 3881.402   W I         2                100.     
 3881.84    GdII        36                50.     
 3881.856   CrI         138               10.     
 3881.869   CoI         18                25.     
 3881.92    NiII        13                 1.     
 3881.94    GdII        50                30.     
 3881.97    ZrII        134                7.     
 3882.147   TiI         175               15.      
 3882.197   O II        12                 7.     
 3882.28    TiII  P  P  34        
 3882.313   TiI         176               10.      
 3882.446   CeII        87                75.     
 3882.45    O II        11                 1.     
 3882.73    [FeII ]  F  24        
 3882.892   TiI         176               20.      
 3883.132   TmI                          400.     
 3883.15    O II        12                 3.     
 3883.208   V II        11                 5.     
 3883.282   FeI         663                4.      
 3883.292   CrI         23                60.     
 3883.43    V II        20                 2.     
 3883.437   TmII        5                200.     
 3883.660   CrI         138               20.     
 3883.77    HfII        18                20.     
 3883.80    C III       15                 2.     
 3883.80    ClII        55                12.     
 3884.090   TiI         175                0.      
 3884.359   FeI         282                3.     
 3884.465   V I         65                 4.     
 3884.57    [FeI  ]  F  9        
 3884.601   CoI         32                10.     
 3884.66    FeI         565                1.      
 3884.847   V II        33                50.     
 3885.07    FeI   P  P  732                        
 3885.084   CrI         138               20.     
 3885.09    LaII        151                4.     
 3885.154   FeI         430                1.      
 3885.190   PrII        18                75.     
 3885.218   CrI         23                40.     
 3885.275   CoI         31                 6.     
 3885.286   SmII        46               200.     
 3885.41    ZrI         7                100.     
 3885.512   FeI         124                5.     
 3885.76    FeI   P  P  567                        
 3885.770   V I         65                 2.     
 3885.87    NiI   P  P  1        
 3885.93    FeI   P  P  946                        
 3885.95    TiI   P  P  164        
 3885.99    C III       15                 3.     
 3886.284   FeI         4                 40.            
 3886.37    LaII        40               150.     
 3886.587   V I         64                 6.     
 3886.789   CrI         23                50.     
 3886.825   MoI         8                  3.      
 3886.94    CrI   P  P  86        
 3887.051   FeI         20                15.            
 3887.157   GdII        3                 40.     
 3887.347   TmI         1                200.     
 3887.365   TiI         176                1.      
 3887.44    [HeII ]  A  4                    
 3887.866   NdII        31                30.     
 3887.993   [D (D8]  A  1                        13.54  
 3888.020   TiI         175                4.      
 3888.42    FeI   P  P  565                1.      
 3888.517   FeI         45                20.            
 3888.646   HeI         2                 10.            
 3888.825   FeI         488                3.            
 3889.051   [H (H8]  A  2                                
 3889.141   CaI         42                 1.      
 3889.18    C III       15                 4.     
 3889.33    FeI   P  P  562        
 3889.330   PrII        14                75.     
 3889.38    FeI   P  P  660                        
 3889.58    [FeI  ]  F  9        
 3889.65    NiI   P  P  180                        
 3889.671   NiI         15                15.     
 3889.90    CrII  P  P  129        
 3889.92    FeI   P  P  564                1.      
 3889.929   NdII                          50.     
 3889.948   TiI         15                 6.     
 3889.990   CeII        50               300.     
 3890.080   SmII        17               100.     
 3890.184   V I         8                 25.     
 3890.241   MgI         47                 3.      
 3890.32    ZrI         8                125.     
 3890.39    FeI         567                1.      
 3890.528   TmII        1                 60.     
 3890.580   NdII                          50.     
 3890.82    CrI         262                4.     
 3890.844   FeI         280                2.     
 3890.9     [FeVI ]  F  3        
 3890.940   NdII                          60.     
 3891.119   V I                            4.     
 3891.210   SmII        22               600.     
 3891.227   V I         43                 2.     
 3891.25    V II        20                 4.     
 3891.39    ZrI         11               100.     
 3891.40    ArII        2                  6.     
 3891.781   BaII        4                 50.     9.96  
 3891.8     [FeV  ]  F  3        
 3891.928   FeI         733                3.     
 3891.97    ArII        2                  7.     
 3891.976   MgI         47                 5.      
 3891.98    V II  P  P  11        
 3892.118   CoI         130                3.     
 3892.14    CrII        167                4.     
 3892.321   S II        50                 5.     
 3892.859   V I         7                 25.     
 3892.898   FeI         283                1.      
 3892.98    FeI         567                1.      
 3893.067   CoI         114                2.     
 3893.14    ArII        91                00.      
 3893.316   FeI         364                1.      
 3893.376   MgI         47                 3.      
 3893.391   FeI         430                7.            
 3893.53    O II        11                 2.     
 3893.924   FeI         175                2.      
 3894.005   FeI         663                2.      
 3894.035   CrI         23                40.     
 3894.073   CoI         34                60.     
 3894.19    PdI         8                200.     
 3894.40    [FeII ]  F  8        
 3894.49    FeI         566                1.      
 3894.627   NdII        29                40.     
 3894.696   GdII        1               2000.     
 3894.976   CoI         18                20.     
 3895.03    P III       9                  6.     
 3895.114   CeII        210              125.     
 3895.12    CrII        143                1.     
 3895.16    CrII        106                2.     
 3895.230   GdII        50               200.     
 3895.243   TiI         176               30.      
 3895.26    ArII        55                 2.     
 3895.44    FeI   P  P  565                1.      
 3895.59    TiI   P  P  164        
 3895.658   FeI         4                 25.            
 3895.662   MgI         47                10.      
 3895.7     [FeV  ]  F  1        
 3895.791   GdII                         400.     
 3896.11    FeII  P  P  23        
 3896.155   V I         43                 6.     
 3896.155   V II        10                60.     
 3896.30    O II        11                 1.     
 3896.53    ZrI         9                 10.     
 3896.63    FeI   P  P  834                        
 3896.804   CeII        188              100.     
 3896.804   Y II        86                10.      
 3896.977   SmII        5                500.     
 3897.075   V I         126                6.     
 3897.290   TiI         175                1.     
 3897.449   FeI         429                2.      
 3897.581   TiI         176                1.     
 3897.896   FeI         280                8.     
 3897.92    K II        1                 15.     
 3898.012   FeI         20                10.     
 3898.019   V I         126                6.     
 3898.120   MgI         47                 4.      
 3898.143   V I   ?  ?  63                 4.      
 3898.19    [FeI  ]  F  9        
 3898.273   CeII        52               100.     
 3898.278   V I                            5.     
 3898.292   NbII        9                200.     
 3898.485   CoI         58                 4.     
 3898.487   TiI         13                 8.     
 3899.037   FeI         175                2.     
 3899.09    S III P  P  5        
 3899.140   V II        33               200.     
 3899.27    S III       12                00.     
 3899.668   TiI         15,175             2.      
 3899.709   FeI         4                 30.            
 3900.175   V I         126                6.     
 3900.226   NdII                          60.     
 3900.51    ZrI         6                 10.      
 3900.519   FeI         565                2.            
 3900.546   TiII        34                70.            
 3900.63    ArII        54                 5.     
 3900.64    HfII        103               20.     
 3900.680   AlII        1                 10.     
 3900.790   TmII        9                 90.     
 3900.958   TiI         15                12.     
 3901.03    FeI   P  P  834                        
 3901.152   V I         126                6.     
 3901.33    V II  P  P  20        
 3901.775   MoI         8                 10.     
 3901.850   NdII                          50.     
 3902.09    ScII  P  P  9        
 3902.108   CrI         238               10.     
 3902.250   V I         7                 50.      
 3902.398   GdII        19              1000.     
 3902.558   V I         43                 3.     
 3902.915   CrI         23                50.     
 3902.948   FeI         45                20.            
 3902.968   MoI         1                 50.      
 3903.164   CrI         23                25.     
 3903.27    V II        11               250.     
 3903.417   SmII                         200.     
 3903.77    ZrII        7                  1.     
 3903.902   FeI         429                5.            
 3904.02    MgI         19                 2.      
 3904.340   CeII        91                 5.      
 3904.64    NiI   P  P  29        
 3904.785   TiI         56                40.      
 3904.79    P III       9                  6.     
 3904.790   CoI         171                3.     
 3905.01    FeI   P  P  703                        
 3905.18    FeI   P  P  564                        
 3905.527   SiI         3                100.            
 3905.62    [FeII ]  F  8        
 3905.64    CrII        167               25.            
 3905.66    FeI   P  P  153                        
 3905.88    CrII  P  P  128        
 3905.886   NdII                         100.     
 3906.037   FeII        173                5.            
 3906.287   CoI         17                10.            
 3906.482   FeI         4                  8.            
 3906.748   FeI         664                2.     
 3906.748   V I         42,43              6.     
 3906.95    S II        3                  1.     
 3906.97    FeI   P  P  567                        
 3907.10    EuII        5               3000.      
 3907.289   CeII        253              125.     
 3907.45    O II        11                 4.            
 3907.464   FeI         284                1.      
 3907.476   ScI         8                 75.     
 3907.52    V II        178                3.     
 3907.65    TiII  P  P  97        
 3907.778   CrI         262                7.     
 3907.937   FeI         280                4.     
 3908.033   PrII        11               150.     
 3908.408   CeII        65               125.     
 3908.431   PrII        11               200.     
 3908.54    FeII  P  P  29        
 3908.543   CeII        127              100.     
 3908.68    FeI   P  P  153                        
 3908.755   CrI         23               100.     
 3908.90    FeI   P  P  153        
 3908.931   NiI         117                8.      
 3909.25    CrII  P  P  129        
 3909.313   CeII        133               35.      
 3909.664   FeI         565                1.      
 3909.830   FeI         364                3.     
 3909.894   V I         7,63              20.     
 3909.910   BaI         8                 40.     
 3909.933   CoI         3                 15.     
 3910.52    FeI   P  P  562                        
 3910.790   V I         42                 5.     
 3910.81    LaII        43                10.      
 3910.845   FeI         284                3.      
 3911.00    FeI   P  P  562                1.      
 3911.1     [FeV  ]  F  3        
 3911.169   NdII                          60.     
 3911.18    FeI   P  P  564        
 3911.185   TiI         175                8.      
 3911.32    CrII        129                3.     
 3911.32    S II                           1.     
 3911.362   TiI         176                2.      
 3911.58    ArII        54                 5.     
 3911.699   FeI         664                1.      
 3911.810   ScI         8                100.     
 3911.95    CrI                           10.      
 3911.960   O II        17                10.            
 3912.088   O II        17                 2.            
 3912.191   CeII        192                5.      
 3912.207   V I         42,43             10.     
 3912.310   NiI         151                8.      
 3912.32    TiII  P  P  97        
 3912.424   CeII        60               300.     
 3912.589   TiI         175                2.     
 3912.886   V I         42                 4.     
 3912.898   PrII        17               125.     
 3912.979   NiI         15                 5.     
 3913.464   TiII        34                60.            
 3913.635   FeI         120                4.     
 3913.92    ClII        68                30.     
 3914.273   FeI         567                1.      
 3914.333   V II        33               250.     
 3914.334   TiI         15                35.     
 3914.36    ZrII        134                7.     
 3914.42    FeI   P  P  652                        
 3914.480   FeII        3                  2.     
 3914.50    FeI   P  P  660                        
 3914.73    FeI         662                1.      
 3914.751   TiI         14                 5.     
 3914.76    ArII        2                  7.     
 3914.83    [ScIII]  F  1                        24.65  
 3914.949   CeII        78                18.      
 3914.96    CrI         137                4.     
 3915.30    CrII  P  P  128        
 3915.384   IrI         6                 60.     
 3915.503   CoI         113                2.      
 3915.843   CrI         136               40.     
 3915.879   TiI         15                 3.     
 3915.94    ZrII        17                25.     
 3916.05    LaII        42               300.     
 3916.243   CrI         23                25.     
 3916.418   V II        10               200.     
 3916.476   TmI         2                200.     
 3916.508   GdII        20              3000.     
 3916.61    GdII  P  P  50                         
 3916.64    ZrI         6                 10.     
 3916.70    ClII        68                20.     
 3916.733   FeI         606                6.     
 3916.980   CrI         137               10.     
 3917.115   CoI         113                8.     
 3917.185   FeI         20                 8.     
 3917.23    [FeI  ]  F  9        
 3917.29    EuII        10                60.     
 3917.442   SmII        9                800.     
 3917.47    HfII        76                20.     
 3917.57    ClII        68                18.     
 3917.596   CrI         137               15.     
 3917.64    [FeI  ]  F  9        
 3918.10    HfII        7                100.     
 3918.19    S II        29                00.     
 3918.236   GdII        50               150.     
 3918.276   CeII        12,248           200.     
 3918.319   FeI         124                3.     
 3918.418   FeI         364                4.     
 3918.51    FeII  P  P  191        
 3918.54    CrI   P  P  136        
 3918.58    FeI   P  P  362                        
 3918.644   FeI         430                6.     
 3918.856   PrII        11               150.     
 3918.977   C II        4                  9.            
 3919.005   N II        17                 6.     
 3919.069   FeI         430                3.     
 3919.15    CrI   P  P  136                        
 3919.159   CrI         23               100.     
 3919.287   O II        17                 6.            
 3919.813   CeII        60               100.     
 3919.822   TiI         130                5.     
 3920.260   FeI         4                 20.            
 3920.37    S III       8                  0.      
 3920.487   V I         42                 5.     
 3920.524   PrII        12                15.     
 3920.645   FeI         153                1.      
 3920.677   C II        4                 10.            
 3920.839   FeI         567                1.      
 3920.965   NdII                         100.     
 3921.02    ZrII  P  P  42        
 3921.022   CrI         23                50.     
 3921.27    FeI         220                1.      
 3921.423   TiI         14                30.     
 3921.54    LaII        40               200.     
 3921.731   CeII        195              100.     
 3921.80    ZrI         8                100.     
 3921.905   V I         42                 6.     
 3922.005   CeII        50                 2.      
 3922.08    FeI   P  P  153                        
 3922.09    FeI   P  P  564                        
 3922.36    ZrII        143                1.     
 3922.397   SmII        38               400.     
 3922.431   V I         42                12.     
 3922.54    ArII        11,53              1.      
 3922.63    S II        60                00.     
 3922.68    FeI   P  P  429                        
 3922.72    P III       9                  4.     
 3922.755   CoI         32                 7.     
 3922.914   FeI         4                 25.            
 3923.03    FeI   P  P  661                        
 3923.109   CeII        191              125.     
 3923.246   GdII        50               300.     
 3923.39    TiII  P  P  97        
 3923.48    [HeII ]  A  4                    
 3923.483   S II        55                 7.     
 3923.5     [FeV  ]  F  3        
 3923.50    CaI         7                  0.      
 3923.503   [ScII ]  A  9                    
 3923.91    HfII        18                40.     
 3923.92    ZrII        100                1.     
 3924.05    S II        33                00.     
 3924.075   MnI                            3.     
 3924.18    NiI   P  P  240        
 3924.44    SiIII                          4.            
 3924.527   TiI         13                50.     
 3924.644   CeII        190               60.     
 3924.65    CrII  P  P  129        
 3924.658   V I         90                10.     
 3925.09    LaII        135                5.     
 3925.151   CoI         131                3.     
 3925.201   FeI         567                1.      
 3925.216   SmI         2                400.     
 3925.240   V I         8                 10.     
 3925.456   PrII        11                75.     
 3925.55    FeI   P  P  660                        
 3925.646   FeI         364                4.     
 3925.71    ArII        105                3.     
 3925.87    ClIII       4                  5.     
 3925.946   FeI         364                6.     
 3926.001   FeI         562                1.      
 3926.319   TiI         292               10.     
 3926.32    V II        165                5.     
 3926.467   MnI         44                10.     
 3926.497   V II        11                10.     
 3926.530   HeI         58                 1.            
 3926.58    O II  P  P  11        
 3926.649   CrI         313               10.     
 3927.383   CeII        43                 4.      
 3927.61    FeI   P  P  282                        
 3927.922   FeI         4                 30.      
 3927.926   V I         90                 3.      
 3927.93    FeI   P  P  361                        
 3928.085   FeI         565                1.      
 3928.279   SmII        17               150.     
 3928.615   S III       8                  6.     
 3928.62    ArII        10                 9.     
 3928.636   CrI         23                60.     
 3928.87    EuII        10                15.     
 3928.97    TiI   P  P  175        
 3929.114   FeI         280                1.      
 3929.15    TiII  P  P  97        
 3929.208   FeI         659                1.      
 3929.22    LaII        27               300.     
 3929.35    [FeII ]  F  24        
 3929.53    ZrI         7                150.     
 3929.54    ZrII        142                8.     
 3929.583   TmII        11               100.     
 3929.734   V II        10                50.     
 3929.875   TiI         13                40.     
 3930.023   V I         63                10.     
 3930.076   CoI         59                 1.      
 3930.299   FeI         4                 25.            
 3930.31    FeII  P  P  3        
 3930.50    EuII        5               4000.      
 3930.63    O IV  P  P  10        
 3930.66    Y II        16                15.     
 3930.88    CrII  P  P  129        
 3931.088   CeII        49               125.     
 3931.122   FeI         565                3.      
 3931.24    ArII        2                  6.     
 3931.340   V I         90                 5.     
 3931.369   CeII        61               100.     
 3931.44    [FeII ]  F  8        
 3931.50    [FeI  ]  F  9        
 3931.938   S II        29                 3.     
 3931.97    AlI         18                 5.     
 3932.007   TiII        34                 2.     
 3932.30    S II        30                 2.     
 3932.40    HfII        28                10.     
 3932.53    LaII        123               10.      
 3932.55    ArII        90                 7.     
 3932.59    FeI   P  P  153                        
 3932.629   FeI         280,652            4.     
 3932.72    [FeII ]  F  8        
 3933.19    ArII        53                 0.     
 3933.294   S II        55                 9.     
 3933.38    P III       9                  4.     
 3933.38    ScI         8                 20.     
 3933.606   FeI         488,562            2.      
 3933.65    HfII        6                 40.     
 3933.664   CaII        1                400.            
 3933.731   CeII        81                60.      
 3933.918   CoI         17                 6.     
 3934.013   V I         42                20.     
 3934.14    ZrII        7                 20.     
 3934.228   TiI         15                 9.     
 3934.41    N III       8                  3.     
 3934.46    CeII  P  P  3        
 3934.80    ZrII        43                20.     
 3934.823   NdII                          50.     
 3934.824   GdII  ?  ?  1                300.     
 3935.141   V I         90                 6.     
 3935.18    CrII  P  P  10        
 3935.31    FeI         362                8.     
 3935.64    HfII        43                20.     
 3935.717   BaI         8                 50.     
 3935.764   SmII        28               300.     
 3935.77    AlI         18                 4.     
 3935.815   FeI         362                8.     
 3935.86    FeI   P  P  564                        
 3935.914   HeI         57                 1.      
 3935.942   FeII        173                6.     
 3935.964   CoI         32                30.     
 3936.      C IV  P  P  2                        64.22  
 3936.07    ZrII        42                 7.     
 3936.22    LaII        13                50.     
 3936.282   V I         42                 5.     
 3936.79    FeI   P  P  564                        
 3936.95    CrII        128                1.     
 3937.329   FeI         278                3.     
 3937.575   NdII        19                 5.     
 3937.80    [FeII ]  F  8        
 3937.870   BaI         8                 20.     
 3938.005   TiI         246                2.      
 3938.086   CeII        205                7.      
 3938.289   FeII        3                  2.     
 3938.400   MgI         18                 0.      
 3938.52    N III       8                  4.     
 3938.621   AlII        73                 0.5     
 3938.76    NiI   P  P  240        
 3938.856   CoI         171                3.     
 3938.969   FeII        190                4.     
 3939.066   AlII        73                 0.5     
 3939.49    S II        45                00.     
 3939.51    ScII  P  P  9        
 3939.85    LaII        134               20.      
 3940.044   FeI         731                1.      
 3940.32    TiII  P  P  97        
 3940.338   CeII        50               100.     
 3940.882   FeI         20                 5.     
 3940.887   CoI         18                12.     
 3941.15    CrI         213                3.     
 3941.283   FeI         562                3.      
 3941.478   MoII        4                 10.     
 3941.490   CrI         23                60.     
 3941.512   NdII        27               150.     
 3941.728   CoI         17                20.     
 3941.86    NiI         171                1.      
 3941.874   SmII        1                300.     
 3941.92    ZrII        55                 3.     
 3942.006   V I         63                 6.     
 3942.14    O IV        10                 0.      
 3942.151   CeII        37               125.     
 3942.443   FeI         364                6.     
 3942.746   CeII        57               150.     
 3942.78    N III       8                  1.      
 3943.08    EuII        22                40.     
 3943.141   CeII        113                5.      
 3943.21    CrI         135                3.     
 3943.239   SmII        9                200.     
 3943.339   FeI         72                 2.     
 3943.48    V II  P  P  11        
 3943.664   V I         42                12.     
 3943.888   CeII        234              100.     
 3944.009   AlI         1                 10.            
 3944.126   NiI         151               12.      
 3944.25    CrI         135                2.     
 3944.27    ArII        2                  8.     
 3944.748   FeI         361                2.      
 3944.890   FeI         430                3.     
 3945.048   O II        6                  5.            
 3945.06    S II        33                 0.      
 3945.08    FeIII       69                 3.     
 3945.10    C II        32                 0.     
 3945.11    CrII        142                1.      
 3945.119   FeI         280                4.     
 3945.21    FeII  P  P  3        
 3945.27    V II  P  P  165        
 3945.29    O IV  P  P  10        
 3945.326   CoI         29                15.     
 3945.34    [ScIII]  F  1                        24.65  
 3945.36    HfII        109               10.      
 3945.495   CrI         135                9.     
 3945.70    [FeI  ]  F  9        
 3945.968   CrI         134               10.     
 3946.0     [CoVII]  F  2        
 3946.00    HfII        115                7.      
 3946.10    ArII        105                7.     
 3946.18    NiI   P  P  1        
 3946.21    Y II        24                 2.     
 3946.35    C II        31,32              0.     
 3946.406   AlII        63                 0.5     
 3946.511   SmII        17               200.     
 3946.633   CoI         60                 2.     
 3946.681   CeII        255               20.      
 3946.98    S II        45                 1.     
 3947.002   FeI         561                4.      
 3947.10    FeIII       23,69              4.     
 3947.125   CoI         58                 3.     
 3947.301   O I         3                 10.     
 3947.393   FeI         153                1.      
 3947.489   O I         3                  7.     
 3947.504   ArI         2                 40.      
 3947.533   FeI         361,426            5.     
 3947.594   O I         3                  4.     
 3947.60    C II        31                 0.     
 3947.633   PrII        11               100.     
 3947.770   TiI         14                40.     
 3947.838   SmII        33               100.     
 3948.00    FeI   P  P  652                        
 3948.105   FeI         562                6.      
 3948.113   SmII        9                300.     
 3948.15    C II        32                 1.     
 3948.28    FeI   P  P  561                        
 3948.48    FeI   P  P  560                        
 3948.670   TiI         13                60.            
 3948.779   FeI         604               10.     
 3948.901   CaI         6                  6.     
 3948.979   ArI         2                100.      
 3949.10    LaII        41               600.     
 3949.14    FeI         730                1.      
 3949.23    FeI   P  P  153                        
 3949.27    [FeII ]  F  8        
 3949.275   TmI         2                100.     
 3949.438   PrII        16               125.     
 3949.45    C II        31                 0.     
 3949.64    CrI   *  *  136                8.     
 3949.954   FeI         72                10.            
 3949.96    ClII        36                10.     
 3950.35    Y II        6                200.     
 3950.42    S II        45                00.     
 3950.78    FeI   P  P  153                        
 3951.097   CrI         136               10.     
 3951.154   NdII        19               150.     
 3951.164   FeI         661                9.     
 3951.51    P III       9                  5.     
 3951.59    Y II        16                 5.            
 3951.717   CoI         171                1.      
 3951.765   CrI         136                8.     
 3951.968   V II        10               500.            
 3951.987   O I         30                 3.     
 3952.00    GdII        1                600.     
 3952.08    C II        32                 2.     
 3952.195   NdII        23               100.     
 3952.326   CoI         16                 8.     
 3952.367   NbII        10               100.      
 3952.399   CrI         136               15.     
 3952.573   CeII        113,177          125.     
 3952.606   FeI         278                8.            
 3952.704   FeI         362                1.      
 3952.74    ArII        89                 6.     
 3952.917   CoI         28                25.     
 3952.982   O I         30                 1.     
 3953.056   O I         30                 2.     
 3953.156   FeI         430                4.     
 3953.163   CrI         136               18.     
 3953.50    FeI   P  P  770                        
 3953.516   PrII        9                125.     
 3953.525   NdII                          60.     
 3953.660   CeII        141               12.      
 3953.76    FeIII P  P  69                         
 3953.863   FeI         362                1.      
 3954.21    ClII        82                20.     
 3954.372   O II        6                  7.            
 3954.38    FeIII       120               12.     
 3954.596   O I         30                 5.     
 3954.687   O I         30                10.     
 3954.715   FeI         606                1.      
 3955.22    FeI   P  P  527                        
 3955.352   FeI         562                3.      
 3955.77    FeI   P  P  219                        
 3955.82    ZrII  P  P  17        
 3955.851   N II        6                  6.            
 3955.956   FeI         488                2.     
 3956.270   CoI         2                  2.      
 3956.284   CeII        202              150.     
 3956.336   TiI         13                60.     
 3956.459   FeI         604                9.     
 3956.681   FeI         278               12.     
 3956.82    O IV  P  P  10        
 3956.901   CeII        176                4.      
 3957.027   FeI         562                4.      
 3957.053   CaI         6                 10.     
 3957.62    FeI         564                1.      
 3957.64    P III       9                  6.     
 3957.66    FeII  P  P  13        
 3957.672   GdII        19              1000.     
 3957.928   CoI         18                15.     
 3958.001   NdII        25                40.     
 3958.08    CrI         307                5.     
 3958.101   TmII        1                200.     
 3958.206   TiI         13                80.     
 3958.24    ZrII        16                50.     
 3958.266   CeII        160                6.      
 3958.39    ArII        65                 5.     
 3958.60    NiI   P  P  150        
 3958.66    PdI         8                200.     
 3958.865   RhI         7                 30.     
 3959.01    ScII  P  P  49        
 3959.436   GdII  ?  ?  49               300.     
 3959.46    FeI   P  P  556                        
 3959.523   GdII  ?  ?  44               500.     
 3959.527   SmII                         200.     
 3960.284   FeI         913                1.      
 3960.37    V II        189                1.     
