1995 4382.75  j   6.58     [Fe II] 6
1995 4385.38  j  17.45     Fe II 27
1995 4395.03  j   7.04     Ti II 19
1995 4399.77  j   3.11     Ti II 51
1995 4413.78  j  67.29+f   [Fe II] 7
1995 4416.27  j            [Fe II] 6
1995 4443.80  j   5.95     Ti II 19
1995 4452.11  j  20.71     [Fe II] 7
1995 4457.95  j  15.99     [Fe II] 6
1995 4468.59  j   7.61     Ti II 31
1995 4473.46  j   7.53     [Fe I] 6
1995 4488.75  j  29.47+f   [Fe II] 6
1995 4491.40  j            Fe II 37
1995 4501.27  j   4.03     Ti II 31
1995 4508.94  j  19.16     Fe II 38 at 8.28 + [Fe II] 6 at 9.61
1995 4515.12  j  20.63     Fe II 37 at 5.34 + [Fe II] 6 at 4.90
1995 4520.22  j  33.43     Fe II 37
1995 4522.63  j   2.69     Fe II 38
1995 4534.07  j   7.61     Fe II 37 at 4.17 + Ti II 50 at 3.97
1995 4541.52  j   4.86     Fe II 38
1995 4549.54  j  29.70     Fe II 38 at 9.47 + Ti II 82 at 9.62
1995 4555.45  j  29.05+f   Fe II 37 at 5.89 + [Fe II] 6 at 5.01 + Cr II 44 at 5.02
1995 4558.66  j            Cr II 44
1995 4563.76  j   4.20     Ti II 50
1995 4572.60  j   4.80     Ti II 82 at 1.97 + [Fe I] 6 at 3.23
1995 4576.33  j   8.00     Fe II 38
1995 4583.33  j  44.78     Fe II 37 at 2.83 + Fe II 38 at 3.83
1995 4588.22  j            Cr II 44
1995 6345.70  d   4.30
1995 6363.88  d   9.90     [01] 1
1995 6369.45  d   3.00     Fe II 40
1995 6383.72  d  10.41     Fe II J
1995 6416.90  d   3.58     Fe II 74
1995 6432.65  d   4.47     Fe II 40
1995 6441.05  d   5.00     [Fe II] 15 at 0.40 + N I 23 at 1.70
1995 6456.37  d  15.22     Fe II 74
1995 6482.21  d   3.57     Fe II 199
1995 6491.46  d   6.92     Fe II J (at 1.25 + 1.67)
1995 6506.40  d   2.74     [Zr II] 17
1995 6516.05  d  11.63     Fe II 40
1995 6562.83  d  19.10:+f  H 3
1995 6582.85  d            C II 2
1995 6627.24  d   1.62     Fe II 210
1995 6667.33  d   4.67     Fe II 210
1995 6678.15  d   1.04     He I 46
1995 6687.70  d   0.60
1995 6717.0   d   0.94     [S II] 2
1995 6731.10  d   2.39     [S II] 2
