1991 4300.05  a  11.29+f   Ti II 41
1991 4301.93  a            Ti II 41
1991 4312.86  a   4.29     Ti II 41
1991 4318.96  a   5.38     Fe II 220 at 8.21 and 9.72
1991 4340.47  a  45.31+f   H 5 separation 1.60 A
1991 4340.47  a            H 5
1991 4351.42  a  25.17     [Fe II] 36 at 1.05 + [Fe II] 38 at 1.80
1991 4358.37  a  30.93     [Fe II] 21
1991 4367.66  a   4.15     Ti II 104
1991 4372.43  a   3.25     [Fe II] 21
1991 4384.21  a  14.99     [Fe II] 36
1991 4395.03  a            Ti II 19
1991 4399.77  a   4.01     Ti II 51
1991 4414.45  a  49.97+f   [Fe II] 6
1991 4416.27  a            [Fe II] 6
1991 4431.20  a   4.07     
1991 4443.80  a   4.48     Ti II 19
1991 4452.11  a  12.30     [Fe II] 7
1991 4457.95  a   7.10     [Fe II] 6
1991 4469.34  a   4.09     [Fe II] 6 at 0.29 + Ti II 31 at 8.49
1991 4473.29  a   6.60     [Fe II] 7 at 4.91 + Fe II 37 at 2.92
1991 4490.00  a  21.47     Fe II 37 at 1.40 + Fe II 37 at 9.18
1991 4501.27  a   3.83     Ti II 31
1991 4508.28  a  17.26     Fe II 38
1991 4515.34  a  18.00     Fe II 37
1991 4520.22  a  31.43+f   Fe II 37
1991 4522.63  a            Fe II 38
1991 4534.07  a   8.59     Fe II 37 at 4.17 + Ti II 50 at 3.97
1991 4541.52  a   5.54     Fe II 38
1991 4549.54  a  32.03     Fe II 38 at 9.47 + Ti II 82 at 9.62
1991 4555.89  a  31.34     Fe II 37
1991 4563.76  a   5.64     Ti II 50
1991 4571.97  a   6.80     Ti II 82
1991 4576.33  a   7.87     Fe II 38
1991 4583.33  a  49.37     Fe II 37 at 2,83 + Fe II 38 at 3.83
1991 4588.22  a  12.56     Cr II 44
1991 4618.83  a  14.33     Cr II 44
1991 4629.34  a  32.45     Fe II 37
1991 4634.11  a   9.78     Cr II 44
1991 4639.68  a   5.91     [Fe II] 4
1991 4655.36  a   4.78     O I 18
1991 4664.97  a  12.12+f   [Fe II] 5
1991 4666.75  a            Fe II 37
1991 4680.60  a   2.61     
1991 4696.60  a   1.62
1991 4719.51  a   2.49     Ti II 59
1991 4728.07  c  15.30     [Fe II] 4
1991 4731.44  c   6.31     Fe II 43
1991 4773.76  c   5.98     O I 16
1991 4798.28  c   2.13     [Fe II] 4
1991 4805.10  c   2.59     Ti II 92
1991 4814.55  c  18.38     [Fe II] 20
1991 4824.13  c   7.20     Cr II 30
1991 4835.00  c   1.52     
1991 4848.24  c  13.93     Cr II 30
1991 4861.32  c 222.72+f   H 4
1991 4862.26  c            Cr II 30 at 0.20 and 4.32
1991 4874.21  c  14.34     {V II] 8
1991 4889.68  c  15.71     [Fe II] 4 at 9.63 + [Fe II] 3 at 9.70
1991 4905.35  c   8.29     ]Fe II] 20
1991 4911.20  c   0.85     Ti II 114
1991 4923.93  c  74.89     Fe II 42
1991 4947.38  c   4.07     [Fe II] 20
1991 4950.74  c   4.57     {Fe II] 20
1991 4973.39  c   4.86     [Fe II] 20
1991 4993.36  c   2.08     Fe II 36
1991 5005.52  c  11.88     [Fe II] 20
1991 5018.43  c  97.02     Fe II 42 + O I 13 at 8.78-9.34+0.13=9.42
1991 5038.30  c   1.72     
1991 5043.53  c   3.23     [Fe II] 20
1991 5052.90  c   3.91     
1991 5060.30  c   1.83     [Fe III] 1
1991 5072.40  c   1.59     [Fe II] 19
1991 5101.74  c   1.78     Fe II J
1991 5108.57  c   7.85+f   [Cr II] 14
1991 5111.63  c            [Fe II] 19
1991 5129.14  c   2.06     Ti II 86
1991 5133.20  c            
1991 7655.47  f   0.80     Fe II 73
1991 7659.24  f   1.89     Fe J at 7.59 + 0.89
1991 7664.01  f   1.07     K I 1
1991 7688.64  f   2.90     [Cr II] 11
1991 7694.82  f   1.00     {Ni II] 7
1991 7698.98  f   0.77     K 11
1991 7711.25  f  15.78     Fe II 73 at 1.71 + [Fe II] 30 at 0.79
1991 7718.50  f   0.58     Fe II J
1991 7733.12  f   2.12     [Fe II] 1
1991 7752.87  f   0.86+f   [Cr II] 11
1991 7755.55  f            Fe II J
1991 7764.69  f            [Fe II] 30
1991 7774.18  f  15.24+p   O I 1 at 1.74 + 1.96 + 5.40
1991 7788.98  f   0.87     Fe II J at 9.26 + 0.34
1991 7794.00  f   1.67+f-
1991 7801.22  f            Fe II J
1991 7810.80  f   0.29
1991 7817.94  f   0.67     Fe II J
1991 7823.30  f   0.39
1991 7835.92  f   0.56     Fe II J at 5.86 + [Ti II] 6 at 5.98
1991 7843.72  f   0.42     Fe II J at 3.54 + 3.91
1991 7855.50  f   0.33
1991 7861.90  f   3.70
1991 7866.54  f   7.82     Fe II J
1991 7872.90  f 
1991 7876.90  f   2.21+p
1991 7894.56  f   3.04     Fe II J at 4.56
1991 7916.25  f   4.07     [Ti II] 6
1991 7967.43  f   0.75     S II 12
1991 7976.26  f   5.20     [Ti II] 6 at 5.58 + 6.95
1991 7981.89  f   0.72     Fe II J
1991 7995.12  f   1.64     O I 19
1991 7999.79  f   4.12     [Fe II] 1 at 9.47+ [Cr II] 1 at 0.12 + P 18
1991 8374.48  h            P 21
1991 8387.60  h   1.75
1991 8392.40  h   5.38     P 20
1991 8409.20  h  10.74+f
1991 8413.32  h            P 19
1991 8420.55  h   4.38     Fe II J
1991 8446.56  h 160.60     O I 4 at 6.35 + 6.36 + 6.76
1991 8467.27  h  17.56     P 17
1991 8490.40  h  17.18     Fe II J at 0.11 and 0.70
1991 8498.01  h  36.71+f   Ca II 2
1991 8502.49  h            P 16
1991 8542.70  h  45.12     Ca II 2 at 2.09 + P 15 at 5.38
1991 8567.74  h   1.38     N I 8
1991 8594.01  h            N I 8
1991 8598.39  h  28.03+p   P 14
1991 8616.96  h  11.86     [Fe II] 13
1991 8629.24  h  10.08     N I 8
1991 8655.88  h   0.69     N I 8
1991 8662.40  h  43.41     Ca II 2 at 2.14 + P 13 at 5.02
1991 8671.08  h   3.31     Fe II J at 0.39 + 1.77
1991 8680.24  h  12.07+f   N I 1
1991 8683.38  h            N I 1
1991 8694.50  h   1.02
1991 8703.24  h   4.20     N I 1
1991 8711.69  h   3.67     N I 1
1991 8715.84  h   3.38     [Fe II] 42
1991 8718.82  h            N I 1
1991 8728.88  h   0.58     N I 1
1991 8735.30  h   0.37
1991 8750.47  h  30.03     P 12
1991 8770.20  h   0.96
1991 8781.00  h 
1991 8785.00  h 
1993 4555.89  b            Fe II 37
1993 4563.76  b   3.86     Ti II 50
1993 4572.71  b   6.05     Ti II 82 at 1.97 + {Ni II} 10 at 3.45
1993 4576.33  b   8.46     Fe II 38
1993 4583.33  b  67.52     Fe II 38 at 3.83 + Fe II 37 at 2.83
1993 4588.22  b  15.59     Cr II 44
1993 4618.83  b  12.26     Cr II 44
1993 4628.60  b  37.19     Fe II 37 at 9.34 + Fe II 54 at 7.86
1993 4634.11  b  11.53     Cr II 44
1993 4637.68  b  10.00     [Fe II] 4
1993 4656.16  b   5.07     O I 18 at 5.36 + Fe II 43 at 6.97
1993 4664.67  b  12.81+f   [Fe II] 4 at 4.45 + Fe II 17 at 4.79
1993 4666.20  b            [Fe II] 4 at 5.65 + Fe II 37 at 6.75
1993 4697.00  b   1.63
1993 4728.07  b  32.57+f   [Fe II] 4
1993 4731.44  b            Fe II 41
1993 4745.49  b   2.25     [Fe II] 20
1993 4773.76  b  12.46     O I 16
1993 4798.28  b   4.83     [Fe II] 4
1993 4814.55  b  35.15     [Fe II] 20
1993 4824.13  b   8.12     Cr II 30
1993 4836.22  b   1.75     Cr II 30
1993 4848.24  b   9.24     Cr II 30
1993 4861.32  b 199.10     H 4
1993 4874.35  b  17.33     [Fe II] 20 at 4.49 + {V II] 8 at 4.21
1993 4889.67  b  25.23     [Fe II] 4 at 9.63 + [Fe II] 3 at 9.70
1993 4898.64  b   6.89     [V II] 8
1993 4905.35  b  15.08     [Fe II] 20
1993 4912.49  b   1.28     Cr II 190
1993 4923.49  b  99.86     Fe II 42 at 3.93 + [V II] 7 at 3.05
1993 4947.38  b   5.00     [Fe II] 20
1993 4950.74  b   7.48     [Fe II] 20
1993 4968.01  b   2.94     O I 14 at 7.40 + 7.86 + 8.76
1993 4973.39  b   7.15     [Fe II] 20
1993 4982.73  b            [Ti II] 23
1993 4993.76  b            Fe II 36 at 3.34 + Fe II J at 4.19
1993 5005.52  b            [Fe II] 20
1993 7999.47  g   7.80     [Fe II] 1
1993 8028.94  g   0.72     [Ti II] 7
1993 8031.86  g   0.29     [Ni II] 7
1993 8036.30  g   0.28
1993 8079.50  g   1.35
1993 8082.42  g   0.93     Fe II J
1993 8095.49  g   1.20     Fe II J
1993 8101.03  g   1.44     [V II] 18
1993 8106.88  g            [Cr II] 20
1993 8109.78  g   5.66+p   Fe II J
1993 8125.50  g   4.28     [Cr II] 1
1993 8133.02  g   0.37     S II 68
1993 8137.16  g   0.47     Fe II J
1993 8184.80  g   0.25     N I 2
1993 8210.64  g   0.56     N I 2
1993 8216.28  g   1.83     N I 2
1993 8222.79  g   2.65     N I 2 at 3.07+ S II 68 at 3.16 + 2.15
1993 8228.16  g   5.06     [Fe II] 30
1993 8233.30  g   0.29     S II 68
1993 8242.34  g   0.33     N I 2
1993 8245.12  g   0.66     [Fe II] 29
1993 8249.03  g   1.07     Fe II J at 7.72 + 0.34
1993 8280.54  g            Fe II J
1993 8284.07  g            Fe II J at 2.61 + 5.52
1993 8285.52  g            Fe II J
1993 8291.12  g  15.20     Fe II J at 1.79 + 2.46
1993 8299.82  g            Fe II J at 8.13 + 1.51
1993 8303.23  g            [Ni II] 2
1993 8307.10  g 
1993 8345.55  g   0.29     P 23
1993 8358.39  g   8.07     P 22 at 9.01 + [Cr II] 1 at 7.7
1993 8374.48  g   1.67     P 21
1993 8387.00  g   1.68
1993 8392.40  g   2.32     P 20
1993 8410.50  g   9.81
1993 8413.32  g            P 19
1994 7047.99  e   1.28     [Fe II] 31
1994 7058.76  e   1.25     [Zr II] 3
1994 7065.19  e   0.54     He I
1994 7078.25  e   0.62     [Ni II] 8
1994 7155.14  e  42.38     [Fe II] 14
1994 7171.98  e  12.47     [Fe II] 14
1994 7199.90  e   1.28
1994 7203.10  e   1.30
1994 7222.39  e   2.50     Fe II 73
1994 7254.33  e  11.64     O I 20 at 4.19 + 4.47
1994 7291.10  e       -
1994 7292.70  e       -  
1994 7307.90  e  12.47     Fe II 73 at 7.97 + [Ni II] 7 at 7.82
1994 7320.70  e   6.24     Fe II 73
1994 7324.10  e   3.44
1994 7329.20  e   4.50+f   Fe II J
1994 7334.66  e            Fe II 209
1994 7376.59  e  40.75     Fe II J
1994 7386.11  e  10.58     [Zr II] 5
1994 7411.90  e  18.00     [V II] 4
1995 3750.15  i  11.21     H 12
1995 3759.37  i  20.72+f   Ti II 13 at 9.29 + Fe II 154 at 9.46
1995 3761.32  i            Ti II 13
1995 3770.63  i  14.39     H 11
1995 3783.35  i   1.20     Fe II 14
1995 3797.90  i   7.12     H 10
1995 3806.34  i            [Cu II] 2
1995 3814.12  i   2.42     Fe II 153
1995 3822.43  i            Fe I 20 at 4.91 + Fe I 20 at 5.88
1995 3824.91  i   3.05+p+f Fe II 29
1995 3827.08  i            Fe II 153
1995 3835.38  i  12.77     H 9
1995 3846.46  i   9.80     [Fe I] 9
1995 3849.58  i   2.27     Ni II 11
1995 3855.37  i   2.39     Si II 1 at 6.02 + 3.66
1995 3862.59  i   4.38+f   Si II 1
1995 3866.27  i            Cr II 130 at 6.54 + 6.01
1995 3872.76  i   2.16     Fe II 29
1995 3877.90  i   3.33
1995 3889.05  i  29.25     H 8
1995 3900.55  i  11.46     Ti II 34
1995 3905.62  i   4.54     [Fe II] 8
1995 3913.46  i   8.96     Ti II 34
1995 3917.42  i   9.80     [Fe I] 9 at 7.23 + 7.64
1995 3931.44  i            [Fe II] 8
1995 3933.66  i  27.42+p+f Ca II 1
1995 3937.80  i            [Fe II] 8
1995 3945.70  i   2.75     [Fe I] 9
1995 3951.96  i   0.94     V II 10
1995 3966.10  i   6.88
1995 3969.27  i  24.43     H 7 at 0.07 + Ca II 1 at 8.47
1995 3974.16  i   6.14     Fe II 29
1995 3979.85  i   1.87     [Fe II] 9 at 9.78 + [Fe II] 8 at 9.93
1995 3992.98  i   4.41     [Cr II] 4 at 2.08 + 3.29 + 3.57
1995 4002.07  i   3.07     Fe II 29
1995 4005.07  i   1.37     [Ti II] 11
1995 4012.37  i   4.77+f   Ti II 11
1995 4014.70  i 
1995 4025.14  i   3.60     Ti II 11
1995 4028.33  i   2.61     Ti II 87
1995 4031.15  i   3.04     [Ti II] 11
1995 4045.82  i            Fe I 43
1995 4053.81  i   2.23     Ti II 87
1995 4067.82  i  17.95     Ni II 11 at 7.05 + [S II] 1 at 8.62
1995 4076.22  i            [S II] 1
1995 4099.29  i            [Fe I] 8
1995 4101.74  i  38.52+p+f H 6
1995 4101.90  i 
1995 4113.70  i   7.32
1995 4122.64  i   5.84     Fe II 28
1995 4129.47  i   3.75     Si II 3 at 8.05 + 0.88
1995 4146.65  i   4.82     [Fe II] 21
1995 4153.10  i   0.98     S II 44
1995 4163.64  i   5.87     Ti II 105
1995 4173.45  i  23.42     Fe II 27
1995 4178.90  i  29.62     [Fe II] 23 at 8.95 + Fe II 28 at 8.86
1995 4145.03  j   3.00     [Fe I] 7 at 4.97 + S II 44 at 5.10
1995 4163.64  j   4.90     Ti II 105
1995 4172.67  j  24.51     Fe II 27 at 3.45 + Ti II 105 at 1.90
1995 4178.90  j  27.00     [Fe II] 23 at 8.95 + Fe II 28 at 8.86
1995 4200.78  j   5.32     Si II at 0.66 + 0.90 *
1995 4231.56  j  15.88     [Fe II] 21
1995 4234.81  j   5.62     Fe II 27
1995 4243.48  j  43.45     [Fe II] 21
1995 4258.16  j   4.12     Fe II 28
1995 4263.07  j   2.20     [Fe I] 7
1995 4276.83  j  25.01     [Fe II] 21
1995 4287.40  j  58.52+f   [Fe II] 7
1995 4290.22  j            Ti II 41
1995 4294.70  j  14.96+f   [Ni II] 4
1995 4296.57  j            Fe II 28
1995 4299.60& j 
1995 4301.61  j  32.89+f+p Fe II 27 at 3.17
1995 4307.90  j            Ti II 41
1995 4313.92  j   7.99     Ti II 41 at 4.98 + 2.86
1995 4318.96  j  13.88     Fe II 220 at 8.21 + 9.72
1995 4326.30  j   6.43     [Ni II] 3 at 6.85 + Fe I 42 at 5.76
1995 4340.47  j            H 5 separation 1.80 A
1995 4340.47  j  81.37+p   H 5
1995 4351.64  j  38.00     [Fe II] 36 at 1.05 + 1.80 + Fe II 27 at 1.76
1995 4358.23  j  63.02     [Fe II] 6 at 8.10 + [Fe II] 21 at 8.37
1995 4369.40  j   6.24     Fe II 28
1995 4372.43  j   7.29     [Fe II] 21
