4259.01        1.05 21.5
6189.52       0.86     4.8
6194.74       0.38     7.9
6195.98       0.42    37.8
6198.97       0.40     2.5
6203.05       1.21    57.1
6204.49       4.87    71.6
6211.69       0.59     9.2
6212.91       0.71     5.3
6215.81       1.03     6.7
6223.67       0.56     4.9
6225.24       0.48     2.4
6226.27 < <   0.57     6.8
6234.01       0.78    25.3
6236.92       0.68     6.0
6244.46       1.72    25.4
6250.88       0.64     5.1
6252.43       0.47     1.6
6259.70       0.69     4.0
6269.85       1.17    77.0
6275.58       0.38     3.4
6283.84       4.77   459.7
6287.59       0.51    13.9
6308.80       5.04    54.4
6317.86       5.18    46.6
6324.45       1.60    13.6
6329.98       0.63    13.8
6338.00       0.71     3.1
6353.38       1.90    17.7
6355.45       0.83     4.8
6358.14       1.29     9.8
6362.15       1.95    13.3
6367.34       0.46    11.8
6374.66       0.68     2.6
6376.08       0.75    44.6
6379.32       0.58    94.9
6384.97       0.51     2.8
6397.01       1.21    25.0
6400.46       0.81     7.7
6410.20       0.60     6.4
6414.67       1.99    14.9
6417.03       1.12     6.1
6418.61       0.71     5.9
6425.66       0.76    16.5
6439.48       0.75    25.4
6445.28       0.46    35.7
6449.22       0.76    29.4
6452.12       0.47     2.2
6456.01 < <   0.89    10.1
6460.44       0.51     4.1
6463.68       0.98    16.7
6465.37       0.65     2.6
6466.86       0.57     8.9
6468.77       0.93     8.2
6474.24       0.57    11.3
6485.71       0.59     2.6
6489.47       0.84     9.4
6492.01       0.51     3.9
6494.05       8.98    69.2
6498.08       0.66     4.2
6520.62       0.89    23.7
6523.28       0.43     2.8
6536.53       0.71    12.7
6543.08       0.52     8.9
6553.92       0.45    10.2
6590.42       7.53   102.2
6594.36       0.63     3.5
6597.31       0.55     8.9
6600.08       0.42     3.4
6607.07       0.48     1.6
6613.62       0.93   165.1
6622.82       0.64     8.1
6625.77       0.48     2.2
6628.14       1.02     5.7
6629.60       0.62     3.5
6630.77       0.54     5.6
6631.69       0.38     3.5
6633.12       1.30     9.7
6635.74       1.12     5.3
6645.95       0.82     6.6
6654.73       0.67     5.7
6657.11       0.41     2.5
6658.74       0.56     2.2
6660.71       0.58    33.0
6662.21 < <   0.53     3.7
6663.71       0.88     3.9
6665.27       0.54     7.3
6672.27       0.66    17.1
6684.86       1.59     6.3
6689.44       0.70     9.3
6693.52       0.54     2.9
6694.54       0.60     6.9
6699.32       0.63    21.6
6702.02       0.63    13.3
6709.43       0.49     1.9
6719.18       0.40     2.3
6727.47       0.56     2.9
6729.27       0.53    18.5
6733.16       1.24     5.8
6737.28       0.61     4.0
6740.82       0.86     3.3
6747.78       1.13     5.5
6751.51       2.81    16.7
6762.05       0.62     2.3
6765.34       0.61     4.3
6767.76       0.70     3.8
6770.21       0.59     4.9
6778.98       0.63     2.9
6780.65       0.58     4.1
6788.76       0.62     2.8
6792.46       0.56     3.2
6795.21       0.50     7.4
6801.46       0.61     4.9
6803.21       0.46     1.5
6809.51       0.54     1.2
6811.15       0.44     3.1
6812.73       1.03     4.6
6814.20       0.56     1.6
6823.45       0.54     3.5
6825.80       0.48     1.4
6827.33 < <   0.71     8.8
6837.71       0.61     3.2
6839.49       0.44     1.5
6841.52       0.46     2.6
6843.63       0.89    12.3
6845.34       0.69     2.3
6846.50       0.48     3.6
6852.53       0.65     7.1
6862.51       0.63     3.9
6864.72       0.50     2.3
6919.21       1.08 <  22.2
6944.60       0.81    10.8
6973.76       0.56 <   5.6
6978.40       0.56 <   5.8
6993.13       0.76 <  49.5
7030.29       0.64 <   6.5
7031.52       0.57 <   7.2
7045.89       0.46     3.7
7061.05       0.50 <   6.8
7062.68       0.47 <   6.5
7069.55       0.78     8.1
7077.86       1.04 <   6.4
7084.65       2.56 <  21.2
7092.67       1.04     8.7
7116.31       0.56 <   5.3
7119.71       1.05 <  10.7
7159.83       1.46 <  12.1
7162.87       0.59     4.4
7203.65       0.53     7.2
7224.03       1.02    84.9
7334.48       0.69     9.8
7357.56       1.41    12.5
7367.13       0.54    34.7
7375.87       0.60     5.0
7385.89       0.52     4.8
7405.71       0.68     2.7
7419.05 < <   0.42     2.5
7470.32       0.88     8.4
7472.60       0.65     2.9
7482.91       0.61     2.3
7484.17       0.55     3.2
7495.02       0.60    13.6
7520.60       0.48     3.3
7559.41       0.54     3.9
7562.25       1.23    29.2
7706.80       0.77     5.8
7708.06       0.60     3.3
7822.80       0.89     4.1
7832.89       0.63    13.4
7862.43       0.52     4.0
8026.25       0.61    13.4
