   3923.36       9.8E-02  Si II      E1                   3s2.(1S).6d-3p3                                   2D-2Po         3/2-1/2                                               118522.86 -   144004.00 001
   3926.66       9.8E-02  Si II      E1                   3s2.(1S).6d-3p3                                   2D-2Po         3/2-3/2                                               118522.86 -   143982.60 001
   3926.67       9.8E-02  Si II      E1                   3s2.(1S).6d-3p3                                   2D-2Po         5/2-3/2                                               118522.93 -   143982.60 001
   3930.90       1.4E-01  Si II      E1                   3s2.(1S).8d-3s.3p.(3Po).4d                        2D-2Do           *-5/2  1.83E+05 2.54E-04 3.29E-02  -2.5952     3    124495.70 -   149928.00 001
   3937.15       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-D[3]        7/2-7/2                                               131918.80 -   157310.70 001
   3939.69       1.4E-01  Si II      E1                   3s2.(1S).8d-3s.3p.(3Po).4d                        2D-2Do           *-3/2  1.81E+05 1.69E-04 2.19E-02  -2.7722     3    124495.70 -   149871.20 001
   3954.300      1.4E-02  Si II      E1                   3s2.(1S).4d-3s2.(1S).9f                           2D-2Fo         3/2-*    2.35E+06 1.93E-02 1.00E+00  -1.1127     3    101023.05 -   126304.82 001
   3954.504      1.4E-02  Si II      E1                   3s2.(1S).4d-3s2.(1S).9f                           2D-2Fo         5/2-*    3.52E+06 1.93E-02 1.51E+00  -0.9366     3    101024.35 -   126304.82 001
   3955.72?      1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f                       2Fo-D[3]        7/2-5/2                                               131918.80 -   157192.?  001
   3958.34       9.9E-02  Si II      E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-2Po         3/2-1/2  2.57E+04 3.02E-05 1.57E-03  -3.9182     3    101023.05 -   126279.00 001
   3965.03       1.0E-01  Si II      E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-2Po         3/2-3/2  2.56E+03 6.03E-06 3.15E-04  -4.6179     3    101023.05 -   126236.40 001
   3965.24       1.0E-01  Si II      E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-2Po         5/2-3/2  2.30E+04 3.62E-05 2.83E-03  -3.6636     3    101024.35 -   126236.40 001
   3972.400      1.4E-02  Si II      E1                   3s2.(1S).5s-3s2.(1S).8p                           2S-2Po         1/2-3/2  1.14E+05 5.38E-04 1.41E-02  -2.9682     3     97972.09 -   123138.67 001
   3977.56       1.4E-01  Si II      E1                3s.3p.(3Po).3d-3s.3p.(3Po).4f.                      2Fo-G[4]        5/2-7/2                                               131677.10 -   156811.00 001
   3978.889      1.4E-02  Si II      E1                   3s2.(1S).5s-3s2.(1S).8p                           2S-2Po         1/2-1/2  1.13E+05 2.69E-04 7.04E-03  -3.2700     3     97972.09 -   123097.63 001
