   3852.95       1.3E-01  Si II]     E1                   3s2.(1S).8d-3s.3p.(3Po).5s                        2D-4Po           *-3/2                                               124495.70 -   150442.50 001
   3870.95       1.3E-01  Si II]     E1                   3s2.(1S).8d-3s.3p.(3Po).5s                        2D-4Po           *-1/2                                               124495.70 -   150321.80 001
   3930.49       9.8E-02  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4P          3/2-5/2                                               108778.70 -   134213.63 001
   3936.98       9.8E-02  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4P          5/2-5/2                                               108820.60 -   134213.63 001
   3951.40       9.9E-02  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4P          3/2-3/2                                               108778.70 -   134079.00 001
   3957.96       9.9E-02  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4P          5/2-3/2                                               108820.60 -   134079.00 001
   3961.13       9.9E-02  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4P          3/2-1/2                                               108778.70 -   134016.90 001
   4001.86       1.0E-01  Si II]     E1                   3s2.(1S).9g-3s.3p.(3Po).4d                        2G-4Fo           *-9/2                                               126396.47 -   151377.80 001
   4024.07       1.0E-01  Si II]     E1                   3s2.(1S).9g-3s.3p.(3Po).4d                        2G-4Fo           *-7/2                                               126396.47 -   151239.90 001
   4039.98       1.0E-01  Si II]     E1                   3s2.(1S).9g-3s.3p.(3Po).4d                        2G-4Fo           *-5/2                                               126396.47 -   151142.10 001
   4174.92       1.1E-01  Si II]     E1                  3s2.(1S).10g-3s.3p.(3Po).4d                        2G-4Fo           *-9/2                                               127432.02 -   151377.80 001
   4199.11       1.1E-01  Si II]     E1                  3s2.(1S).10g-3s.3p.(3Po).4d                        2G-4Fo           *-7/2                                               127432.02 -   151239.90 001
   4216.43       1.1E-01  Si II]     E1                  3s2.(1S).10g-3s.3p.(3Po).4d                        2G-4Fo           *-5/2                                               127432.02 -   151142.10 001
   4233.25       1.1E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Po         3/2-1/2                                               101023.05 -   124638.90 001
   4237.44       1.1E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Po         3/2-3/2                                               101023.05 -   124615.60 001
   4237.67       1.1E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Po         5/2-3/2                                               101024.35 -   124615.60 001
   4246.10       1.1E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Po         3/2-5/2                                               101023.05 -   124567.40 001
   4246.34       1.1E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Po         5/2-5/2                                               101024.35 -   124567.40 001
   4267.72       1.2E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Do         5/2-7/2                                               101024.35 -   124449.50 001
   4282.97       1.2E-01  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4D          5/2-7/2                                               108820.60 -   132162.29 001
   4288.01       1.2E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Do         3/2-1/2                                               101023.05 -   124337.30 001
   4290.22       1.2E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Do         3/2-3/2                                               101023.05 -   124325.30 001
   4290.46       1.2E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Do         5/2-3/2                                               101024.35 -   124325.30 001
   4291.77       1.2E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Do         3/2-5/2                                               101023.05 -   124316.90 001
   4292.01       1.2E-01  Si II]     E1                   3s2.(1S).4d-3s.3p.(3Po).3d                        2D-4Do         5/2-5/2                                               101024.35 -   124316.90 001
   4307.40       1.2E-01  Si II]     E1                3s.3p.(3Po).3d-3s.3p.(3Po).4p                       2Do-4D          3/2-5/2                                               108778.70 -   131988.05 001
